filepath,caption
dataset/IMG_0825.JPG,Person positioned beneath a bright source.
dataset/IMG_0718.JPG,Revisiting the same scene
dataset/church_2.JPG,Additional place of worship
dataset/IMG_0794.JPG,me starting down
dataset/the_sky.JPG,University skyline.
dataset/IMG_0794.JPG,Commencing descent.
dataset/IMG_0834.JPG,boat during night
dataset/IMG_0718.JPG,me again
dataset/IMG_0842.JPG,Person illuminated by overhead light.
dataset/the_sky.JPG,High-rise buildings against the clear dome.
dataset/church_1.JPG,church blurry
dataset/IMG_0825.JPG,Illuminated figure in a dimly lit area.
dataset/moonlight.JPG,church x3
dataset/downstreet.JPG,Urban thoroughfare illuminated after dark
dataset/henry.JPG,Henry depicted in a still image
dataset/the_sky.JPG,sky at university
dataset/IMG_0797.JPG,Joel perched on a boulder under moonlight.
dataset/downstreet.JPG,Neighborhood avenue bathed in nocturnal light
dataset/church_1.JPG,Indistinct church in the image.
dataset/moonlight.JPG,Three churches in the scene
dataset/church_2.JPG,andother church
dataset/moonlight.JPG,Multiple church structures visible
dataset/IMG_0825.JPG,standing under lamp
dataset/downstreet.JPG,street at night
dataset/IMG_0794.JPG,Initiating downward movement.
dataset/IMG_0834.JPG,"""boat illuminated at dusk"""
dataset/henry.JPG,henry
dataset/church_1.JPG,Church out of focus.
dataset/IMG_0834.JPG,"""nighttime vessel on water"""
dataset/IMG_0797.JPG,joel sitting on a rock at night
dataset/church_2.JPG,Another church building
dataset/IMG_0842.JPG,standing under lamp
dataset/IMG_0797.JPG,Joel seated on a stone during the evening hours.
dataset/IMG_0842.JPG,Lamp-lit figure upright.
dataset/IMG_0718.JPG,Seeing the familiar setting once more
dataset/henry.JPG,Henry in portrait form
